name	price	size	url	time	name_	price_	brand	calories	proteins	fats	carbos	composition	get_ok	parse_ok	time_
Майонез Махеевъ Провансаль с лимонным соком дой-пак 67%, 400г	84,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-maheev-provansal-s-limonnym-sokom-doj-pak-67-400g-2047206	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Ряба Провансаль 67%, 400г	109,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-raba-provansal-67-400g-3277399	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Слобода Провансаль 67%, 400г	124,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-400g-3674577	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Провансаль 67% Маркет, 400мл	104,99 ₽/шт	400 мл	https://www.perekrestok.ru/cat/221/p/majonez-provansal-67-market-400ml-4259098	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Я люблю готовить Классический провансаль 67%, 700 г	139,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-klassiceskij-provansal-67-700-g-4199312	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Слобода Провансаль 67%, 800г	209,99 ₽/шт	800 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-800g-3193489	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Провансаль 67% Маркет, 700г	159,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/221/p/majonez-provansal-67-market-700g-4259097	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Я люблю готовить Московский Провансаль классический 67%, 200мл	69,99 ₽/шт	200 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-moskovskij-provansal-klassiceskij-67-200ml-4297313	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Слобода Провансаль 67%, 230г	81,99 ₽/шт	230 мл	https://www.perekrestok.ru/cat/221/p/majonez-sloboda-provansal-67-230g-3389323	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Вологодский провансаль Премиум 67%, 330г	139,98 ₽/шт	350 мл	https://www.perekrestok.ru/cat/221/p/majonez-vologodskij-provansal-premium-67-330g-4341942	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Махеевъ Провансаль 50,5%, 630г	129,99 ₽/шт	655 мл	https://www.perekrestok.ru/cat/221/p/majonez-maheev-provansal-50-5-630g-4262571	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Махеевъ Провансаль с лимонным соком, 655мл	129,99 ₽/шт	655 мл	https://www.perekrestok.ru/cat/221/p/majonez-maheev-provansal-s-limonnym-sokom-655ml-4339442	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Ряба Провансаль 67%, 630г	189,99 ₽/шт	670 мл	https://www.perekrestok.ru/cat/221/p/majonez-raba-provansal-67-630g-4233420	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Я люблю готовить Классический провансаль 67%, 390 г	119,99 ₽/шт	390 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-klassiceskij-provansal-67-390-g-4199300	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Махеевъ Провансаль 50.5%, 820г	209,99 ₽/шт	820 мл	https://www.perekrestok.ru/cat/221/p/majonez-maheev-provansal-50-5-820g-2060609	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Ряба Сметанный Провансаль 50.5%, 330г	119,99 ₽/шт	344 мл	https://www.perekrestok.ru/cat/221/p/majonez-raba-smetannyj-provansal-50-5-330g-4331533	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Ряба Провансаль 67%, 350г	119,99 ₽/шт	372 мл	https://www.perekrestok.ru/cat/221/p/majonez-raba-provansal-67-350g-4331515	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Я люблю готовить Московский Провансаль классический 67%, 390 г	119,99 ₽/шт	390 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-moskovskij-provansal-klassiceskij-67-390-g-4105769	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Провансаль классический 67% Пр!ст, 220г	32,50 ₽/шт	220 мл	https://www.perekrestok.ru/cat/221/p/majonez-provansal-klassiceskij-67-pr-st-220g-3677986	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
Майонез Я люблю готовить Московский Провансаль классический , 700 г	209,99 ₽/шт	700 мл	https://www.perekrestok.ru/cat/221/p/majonez-a-lublu-gotovit-moskovskij-provansal-klassiceskij-700-g-4112954	Wed Jul  3 15:04:39 2024	none	none	none	none	none	none	none	none	none	none	none
